array_type,size,algorithm,mean_time_us,mean_char_comparisons,runs,seed
"random",900,"MSDRadixQuickSort",87.900,4055.100,10,20260524
"random",900,"MSDRadixSort",158.200,1942.800,10,20260524
"random",900,"MergeSort",413.600,10186.500,10,20260524
"random",900,"QuickSort",192.900,137111.500,10,20260524
"random",900,"StringMergeSort",627.400,6988.800,10,20260524
"random",900,"StringQuickSort",53.800,9080.800,10,20260524
"random",1000,"MSDRadixQuickSort",98.600,4646.300,10,20260524
"random",1000,"MSDRadixSort",178.100,2174.000,10,20260524
"random",1000,"MergeSort",452.500,11599.400,10,20260524
"random",1000,"QuickSort",218.200,154702.200,10,20260524
"random",1000,"StringMergeSort",689.800,7888.300,10,20260524
"random",1000,"StringQuickSort",59.100,10562.200,10,20260524
"random",1100,"MSDRadixQuickSort",104.900,5284.900,10,20260524
"random",1100,"MSDRadixSort",191.400,2403.400,10,20260524
"random",1100,"MergeSort",512.100,13060.800,10,20260524
"random",1100,"QuickSort",240.400,169187.000,10,20260524
"random",1100,"StringMergeSort",758.400,8830.600,10,20260524
"random",1100,"StringQuickSort",66.100,11329.800,10,20260524
"random",1200,"MSDRadixQuickSort",119.000,5898.000,10,20260524
"random",1200,"MSDRadixSort",210.500,2640.600,10,20260524
"random",1200,"MergeSort",566.100,14549.200,10,20260524
"random",1200,"QuickSort",258.200,185462.100,10,20260524
"random",1200,"StringMergeSort",846.600,9771.100,10,20260524
"random",1200,"StringQuickSort",72.300,12812.600,10,20260524
"random",1300,"MSDRadixQuickSort",128.300,6579.000,10,20260524
"random",1300,"MSDRadixSort",227.300,2877.200,10,20260524
"random",1300,"MergeSort",608.700,16059.200,10,20260524
"random",1300,"QuickSort",278.500,201337.900,10,20260524
"random",1300,"StringMergeSort",910.400,10724.300,10,20260524
"random",1300,"StringQuickSort",80.100,14301.300,10,20260524
"random",1400,"MSDRadixQuickSort",137.600,7226.300,10,20260524
"random",1400,"MSDRadixSort",241.700,3119.600,10,20260524
"random",1400,"MergeSort",655.900,17609.100,10,20260524
"random",1400,"QuickSort",303.700,216739.400,10,20260524
"random",1400,"StringMergeSort",970.400,11702.600,10,20260524
"random",1400,"StringQuickSort",84.300,15417.700,10,20260524
"random",1500,"MSDRadixQuickSort",146.000,7929.000,10,20260524
"random",1500,"MSDRadixSort",259.800,3362.100,10,20260524
"random",1500,"MergeSort",720.700,19148.400,10,20260524
"random",1500,"QuickSort",323.100,234420.900,10,20260524
"random",1500,"StringMergeSort",1051.900,12652.400,10,20260524
"random",1500,"StringQuickSort",91.900,17506.300,10,20260524
"random",1600,"MSDRadixQuickSort",154.300,8645.700,10,20260524
"random",1600,"MSDRadixSort",274.500,3614.000,10,20260524
"random",1600,"MergeSort",773.100,20726.400,10,20260524
"random",1600,"QuickSort",343.600,249138.300,10,20260524
"random",1600,"StringMergeSort",1124.500,13621.800,10,20260524
"random",1600,"StringQuickSort",98.900,18104.100,10,20260524
"random",1700,"MSDRadixQuickSort",169.400,9303.600,10,20260524
"random",1700,"MSDRadixSort",299.500,3859.700,10,20260524
"random",1700,"MergeSort",823.500,22338.900,10,20260524
"random",1700,"QuickSort",361.800,264054.600,10,20260524
"random",1700,"StringMergeSort",1197.900,14607.200,10,20260524
"random",1700,"StringQuickSort",105.200,18820.200,10,20260524
"random",1800,"MSDRadixQuickSort",181.200,10050.900,10,20260524
"random",1800,"MSDRadixSort",320.400,4114.900,10,20260524
"random",1800,"MergeSort",865.700,23947.800,10,20260524
"random",1800,"QuickSort",387.200,280428.700,10,20260524
"random",1800,"StringMergeSort",1255.400,15596.600,10,20260524
"random",1800,"StringQuickSort",109.800,20813.200,10,20260524
"random",1900,"MSDRadixQuickSort",192.800,10790.900,10,20260524
"random",1900,"MSDRadixSort",341.200,4366.300,10,20260524
"random",1900,"MergeSort",903.600,25560.700,10,20260524
"random",1900,"QuickSort",407.100,296532.000,10,20260524
"random",1900,"StringMergeSort",1324.400,16568.300,10,20260524
"random",1900,"StringQuickSort",115.500,21694.400,10,20260524
"random",2000,"MSDRadixQuickSort",193.000,11502.700,10,20260524
"random",2000,"MSDRadixSort",350.800,4626.100,10,20260524
"random",2000,"MergeSort",955.700,27213.800,10,20260524
"random",2000,"QuickSort",427.500,314664.400,10,20260524
"random",2000,"StringMergeSort",1354.300,17568.700,10,20260524
"random",2000,"StringQuickSort",120.900,23548.900,10,20260524
"random",2100,"MSDRadixQuickSort",204.400,12224.200,10,20260524
"random",2100,"MSDRadixSort",375.900,4880.800,10,20260524
"random",2100,"MergeSort",981.200,28879.400,10,20260524
"random",2100,"QuickSort",437.100,330729.000,10,20260524
"random",2100,"StringMergeSort",1427.900,18587.200,10,20260524
"random",2100,"StringQuickSort",123.400,24511.900,10,20260524
"random",2200,"MSDRadixQuickSort",211.400,13036.100,10,20260524
"random",2200,"MSDRadixSort",388.600,5137.600,10,20260524
"random",2200,"MergeSort",1040.000,30558.900,10,20260524
"random",2200,"QuickSort",457.300,345861.000,10,20260524
"random",2200,"StringMergeSort",1509.400,19612.100,10,20260524
"random",2200,"StringQuickSort",130.100,25703.000,10,20260524
"random",2300,"MSDRadixQuickSort",221.400,13786.200,10,20260524
"random",2300,"MSDRadixSort",406.500,5399.800,10,20260524
"random",2300,"MergeSort",1088.800,32287.000,10,20260524
"random",2300,"QuickSort",475.300,362430.300,10,20260524
"random",2300,"StringMergeSort",1589.900,20642.500,10,20260524
"random",2300,"StringQuickSort",136.700,27229.900,10,20260524
"random",2400,"MSDRadixQuickSort",232.500,14573.600,10,20260524
"random",2400,"MSDRadixSort",433.200,5660.900,10,20260524
"random",2400,"MergeSort",1149.400,33974.600,10,20260524
"random",2400,"QuickSort",494.400,377700.500,10,20260524
"random",2400,"StringMergeSort",1665.100,21658.700,10,20260524
"random",2400,"StringQuickSort",144.600,29658.000,10,20260524
"random",2500,"MSDRadixQuickSort",235.500,15301.000,10,20260524
"random",2500,"MSDRadixSort",444.700,5924.200,10,20260524
"random",2500,"MergeSort",1182.600,35743.000,10,20260524
"random",2500,"QuickSort",521.700,395694.900,10,20260524
"random",2500,"StringMergeSort",1746.400,22718.300,10,20260524
"random",2500,"StringQuickSort",149.200,30042.200,10,20260524
"random",2600,"MSDRadixQuickSort",245.800,16073.400,10,20260524
"random",2600,"MSDRadixSort",464.100,6194.000,10,20260524
"random",2600,"MergeSort",1233.700,37439.000,10,20260524
"random",2600,"QuickSort",537.200,410564.000,10,20260524
"random",2600,"StringMergeSort",1825.200,23716.300,10,20260524
"random",2600,"StringQuickSort",155.200,31221.000,10,20260524
"random",2700,"MSDRadixQuickSort",253.600,16752.600,10,20260524
"random",2700,"MSDRadixSort",478.500,6461.300,10,20260524
"random",2700,"MergeSort",1278.400,39227.000,10,20260524
"random",2700,"QuickSort",569.500,427397.900,10,20260524
"random",2700,"StringMergeSort",1897.800,24793.100,10,20260524
"random",2700,"StringQuickSort",161.000,32707.300,10,20260524
"random",2800,"MSDRadixQuickSort",262.700,17607.700,10,20260524
"random",2800,"MSDRadixSort",499.600,6732.000,10,20260524
"random",2800,"MergeSort",1342.100,40983.800,10,20260524
"random",2800,"QuickSort",580.400,443792.600,10,20260524
"random",2800,"StringMergeSort",1995.400,25837.800,10,20260524
"random",2800,"StringQuickSort",167.600,34059.000,10,20260524
"random",2900,"MSDRadixQuickSort",273.300,18392.100,10,20260524
"random",2900,"MSDRadixSort",525.600,7006.200,10,20260524
"random",2900,"MergeSort",1385.100,42756.200,10,20260524
"random",2900,"QuickSort",608.700,456665.400,10,20260524
"random",2900,"StringMergeSort",2061.400,26873.300,10,20260524
"random",2900,"StringQuickSort",176.000,35403.700,10,20260524
"random",3000,"MSDRadixQuickSort",286.400,19227.700,10,20260524
"random",3000,"MSDRadixSort",542.600,7279.900,10,20260524
"random",3000,"MergeSort",1430.200,44543.200,10,20260524
"random",3000,"QuickSort",628.200,476316.500,10,20260524
"random",3000,"StringMergeSort",2148.400,27941.700,10,20260524
"random",3000,"StringQuickSort",181.200,37590.000,10,20260524
"reverse_sorted",100,"MSDRadixQuickSort",8.200,512.700,10,20260524
"reverse_sorted",100,"MSDRadixSort",18.300,237.600,10,20260524
"reverse_sorted",100,"MergeSort",29.100,671.700,10,20260524
"reverse_sorted",100,"QuickSort",13.200,14058.500,10,20260524
"reverse_sorted",100,"StringMergeSort",47.700,383.800,10,20260524
"reverse_sorted",100,"StringQuickSort",2.200,607.400,10,20260524
"reverse_sorted",200,"MSDRadixQuickSort",15.200,1044.600,10,20260524
"reverse_sorted",200,"MSDRadixSort",35.700,481.900,10,20260524
"reverse_sorted",200,"MergeSort",55.600,1456.900,10,20260524
"reverse_sorted",200,"QuickSort",26.000,29408.900,10,20260524
"reverse_sorted",200,"StringMergeSort",95.200,768.100,10,20260524
"reverse_sorted",200,"StringQuickSort",4.100,1335.400,10,20260524
"reverse_sorted",300,"MSDRadixQuickSort",22.500,1595.600,10,20260524
"reverse_sorted",300,"MSDRadixSort",53.400,727.600,10,20260524
"reverse_sorted",300,"MergeSort",86.000,2289.500,10,20260524
"reverse_sorted",300,"QuickSort",36.000,40417.500,10,20260524
"reverse_sorted",300,"StringMergeSort",150.100,1159.100,10,20260524
"reverse_sorted",300,"StringQuickSort",6.700,2157.600,10,20260524
"reverse_sorted",400,"MSDRadixQuickSort",30.500,2137.200,10,20260524
"reverse_sorted",400,"MSDRadixSort",71.300,970.200,10,20260524
"reverse_sorted",400,"MergeSort",111.600,3149.700,10,20260524
"reverse_sorted",400,"QuickSort",52.800,59305.200,10,20260524
"reverse_sorted",400,"StringMergeSort",202.300,1563.500,10,20260524
"reverse_sorted",400,"StringQuickSort",8.900,2960.200,10,20260524
"reverse_sorted",500,"MSDRadixQuickSort",38.400,2677.400,10,20260524
"reverse_sorted",500,"MSDRadixSort",90.900,1213.000,10,20260524
"reverse_sorted",500,"MergeSort",148.800,3851.800,10,20260524
"reverse_sorted",500,"QuickSort",54.800,60160.300,10,20260524
"reverse_sorted",500,"StringMergeSort",261.200,1895.600,10,20260524
"reverse_sorted",500,"StringQuickSort",11.200,3832.000,10,20260524
"reverse_sorted",600,"MSDRadixQuickSort",45.400,3218.100,10,20260524
"reverse_sorted",600,"MSDRadixSort",107.400,1456.500,10,20260524
"reverse_sorted",600,"MergeSort",181.200,4910.900,10,20260524
"reverse_sorted",600,"QuickSort",72.900,79862.700,10,20260524
"reverse_sorted",600,"StringMergeSort",324.800,2346.300,10,20260524
"reverse_sorted",600,"StringQuickSort",13.300,4696.300,10,20260524
"reverse_sorted",700,"MSDRadixQuickSort",53.000,3748.700,10,20260524
"reverse_sorted",700,"MSDRadixSort",123.100,1695.200,10,20260524
"reverse_sorted",700,"MergeSort",214.300,5873.100,10,20260524
"reverse_sorted",700,"QuickSort",93.000,102572.700,10,20260524
"reverse_sorted",700,"StringMergeSort",377.900,2789.100,10,20260524
"reverse_sorted",700,"StringQuickSort",15.700,5654.100,10,20260524
"reverse_sorted",800,"MSDRadixQuickSort",61.900,4286.900,10,20260524
"reverse_sorted",800,"MSDRadixSort",145.200,1938.100,10,20260524
"reverse_sorted",800,"MergeSort",238.300,6715.500,10,20260524
"reverse_sorted",800,"QuickSort",105.700,117575.900,10,20260524
"reverse_sorted",800,"StringMergeSort",443.300,3149.300,10,20260524
"reverse_sorted",800,"StringQuickSort",17.900,6588.700,10,20260524
"reverse_sorted",900,"MSDRadixQuickSort",69.000,4833.900,10,20260524
"reverse_sorted",900,"MSDRadixSort",162.400,2184.500,10,20260524
"reverse_sorted",900,"MergeSort",282.100,7521.100,10,20260524
"reverse_sorted",900,"QuickSort",110.000,119494.300,10,20260524
"reverse_sorted",900,"StringMergeSort",509.700,3496.500,10,20260524
"reverse_sorted",900,"StringQuickSort",21.000,7565.500,10,20260524
"reverse_sorted",1000,"MSDRadixQuickSort",78.400,5370.800,10,20260524
"reverse_sorted",1000,"MSDRadixSort",183.300,2428.900,10,20260524
